strain	date	clade_membership	country	geoloc_9cat	region	sequenced_by_2cat	virus	accession	division	CLF_A_EXPOSURE	CONF_A_EXPOSURE
MT459851	2020-03-10	20B	Greece	Europe	Europe	External	ncov		Athens		
MT371048	2020-03-10	20B	Sri Lanka	Asia	Asia	External	ncov				
MT459907	2020-03-10	20B	Greece	Europe	Europe	External	ncov		Athens		
MT459909	2020-03-10	20B	Greece	Europe	Europe	External	ncov		Athens		
MT439233	2020-03-10	20B	USA	North America	North America	External	ncov		Michigan		
MT459902	2020-03-10	20B	Greece	Europe	Europe	External	ncov		Athens		
MT459873	2020-03-13	20B	Greece	Europe	Europe	External	ncov		Athens		
MT460128	2020-04-30	20B	USA	North America	North America	External	ncov		California		
MT460125	2020-04-30	20B	USA	North America	North America	External	ncov		California		
MT451516	2020-03-29	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451345	2020-03-29	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT459895	2020-03-22	20B	Greece	Europe	Europe	External	ncov		Athens		
MT459834	2020-03-23	20B	Greece	Europe	Europe	External	ncov		Athens		
MT451254	2020-03-22	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT459842	2020-03-23	20B	Greece	Europe	Europe	External	ncov		Athens		
MT451244	2020-03-21	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451137	2020-03-21	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451409	2020-03-25	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT459875	2020-03-13	20B	Greece	Europe	Europe	External	ncov		Athens		
MT459866	2020-03-13	20B	Greece	Europe	Europe	External	ncov		Athens		
MT459874	2020-03-13	20B	Greece	Europe	Europe	External	ncov		Athens		
MT459890	2020-03-14	20B	Greece	Europe	Europe	External	ncov		Athens		
MT258379	2020-03-18	20B	USA	North America	North America	External	ncov		California		
MT328033	2020-03-18	20B	Greece	Europe	Europe	External	ncov				
MT380730	2020-04-01	20B	USA	North America	North America	External	ncov				
MT451595	2020-04-04	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451693	2020-04-01	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451601	2020-04-05	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451709	2020-04-03	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT459855	2020-03-12	20B	Greece	Europe	Europe	External	ncov		Athens		
MT459871	2020-03-12	20B	Greece	Europe	Europe	External	ncov		Athens		
MT451458	2020-03-28	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451594	2020-04-04	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451531	2020-03-29	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451596	2020-04-04	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451018	2020-03-18	20B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT371571	2020-03-18	20B	Czech Republic	Europe	Europe	External	ncov				
MT270814	2020-03-18	20B	Hong Kong	Asia	Asia	External	ncov				
MT371574	2020-03-18	20B	Czech Republic	Europe	Europe	External	ncov				
MT444609	2020-04-08	20A	USA	North America	North America	External	ncov				
MT412303	2020-03-30	20A	USA	North America	North America	External	ncov		Connecticut		
MT459872	2020-03-12	20A	Greece	Europe	Europe	External	ncov		Athens		
MT451311	2020-03-26	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451679	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT459915	2020-03-10	20A	Greece	Europe	Europe	External	ncov		Athens		
MT459916	2020-03-10	20A	Greece	Europe	Europe	External	ncov		Athens		
MT451492	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT439236	2020-03-12	20A	USA	North America	North America	External	ncov		Michigan		
MT370869	2020-03-18	20A	USA	NY	North America	External	ncov		New York		
MT334568	2020-03-27	20A	USA	North America	North America	External	ncov		Utah		
MT192765	2020-03-11	20A	USA	North America	North America	External	ncov		California		
MT358664	2020-03-31	20A	USA	WA	North America	External	ncov		Washington		
MT276323	2020-02-28	20A	USA	North America	North America	External	ncov		Rhode Island		
MT304488	2020-03-01	20A	USA	North America	North America	External	ncov		Rhode Island		
MT451174	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT434796	2020-03-09	20A	USA	NY	North America	External	ncov		New York		
MA_MGH_00075	2020-03-25	20A	USA	MA	North America	Broad	ncov		Massachusetts		
MT459840	2020-03-23	20A	Greece	Europe	Europe	External	ncov		Athens		
MT451726	2020-04-04	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT439273	2020-03-24	20A	USA	North America	North America	External	ncov		Michigan		
MT345888	2020-03-29	20A	USA	North America	North America	External	ncov		Idaho		
MT444540	2020-03-31	20A	USA	North America	North America	External	ncov				
MT444598	2020-04-05	20A	USA	North America	North America	External	ncov				
MT370953	2020-03-19	20A	USA	NY	North America	External	ncov		New York		
MT371030	2020-03-19	20A	USA	NY	North America	External	ncov		New York		
MT451485	2020-03-28	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451399	2020-03-25	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451397	2020-03-25	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT344948	2020-03-05	20A	USA	North America	North America	External	ncov		Hawaii		
MT385428	2020-03-28	20A	USA	North America	North America	External	ncov		California		
MT451001	2020-03-15	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451465	2020-03-27	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451153	2020-03-21	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451151	2020-03-21	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451111	2020-03-20	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451232	2020-03-20	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT374111	2020-03-17	20A	Taiwan	Asia	Asia	External	ncov				
MT325599	2020-03-05	20A	USA	North America	North America	External	ncov		Pennsylvania		
MT293219	2020-03-18	20A	USA	WA	North America	External	ncov		Washington		
MT326158	2020-03-21	20A	USA	North America	North America	External	ncov				
MT451682	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451097	2020-03-19	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451061	2020-03-17	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450999	2020-03-15	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT292569	2020-03-09	20A	Spain	Europe	Europe	External	ncov				
MT292575	2020-03-10	20A	Spain	Europe	Europe	External	ncov				
MT451058	2020-03-17	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451192	2020-03-23	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451234	2020-03-20	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451405	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451404	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT198653	2020-03-08	20A	Spain	Europe	Europe	External	ncov		Valencia		
MT451263	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451023	2020-03-20	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451427	2020-03-28	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451394	2020-03-26	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451694	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451692	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT412137	2020-03-13	20A	USA	North America	North America	External	ncov		Michigan		
MT359865	2020-03-15	20A	Spain	Europe	Europe	External	ncov				
MT444528	2020-03-17	20A	USA	North America	North America	External	ncov				
MT459888	2020-03-18	20A	Greece	Europe	Europe	External	ncov		Athens		
MT385453	2020-03-28	20A	USA	North America	North America	External	ncov		California		
MT451262	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451426	2020-03-28	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451429	2020-03-29	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT461653	2020-04-05	20A	USA	WA	North America	External	ncov		Washington		
MT412225	2020-04-01	20A	USA	WA	North America	External	ncov		Washington		
MT345815	2020-03-24	20A	USA	WA	North America	External	ncov		Washington		
MT459925	2020-03-31	20A	Greece	Europe	Europe	External	ncov		Athens		
MT385474	2020-03-28	20A	USA	North America	North America	External	ncov		California		
MT451169	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451740	2020-04-07	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT459905	2020-03-23	20A	Greece	Europe	Europe	External	ncov		Athens		
MT444534	2020-03-30	20A	USA	North America	North America	External	ncov				
MT444551	2020-04-03	20A	USA	North America	North America	External	ncov				
MT444552	2020-04-03	20A	USA	North America	North America	External	ncov				
MT444546	2020-04-02	20A	USA	North America	North America	External	ncov				
MT444575	2020-04-03	20A	USA	North America	North America	External	ncov				
MT444620	2020-04-15	20A	USA	North America	North America	External	ncov				
MT444621	2020-04-15	20A	USA	North America	North America	External	ncov				
MT444630	2020-04-15	20A	USA	North America	North America	External	ncov				
MT444632	2020-04-15	20A	USA	North America	North America	External	ncov				
MT444622	2020-04-15	20A	USA	North America	North America	External	ncov				
MT444635	2020-04-15	20A	USA	North America	North America	External	ncov				
MT444581	2020-04-02	20A	USA	North America	North America	External	ncov				
MT444633	2020-04-14	20A	USA	North America	North America	External	ncov				
MT325615	2020-03-07	20A	USA	North America	North America	External	ncov		Iowa		
MT466583	2020-03-15	20A	USA	North America	North America	External	ncov		Arkansas		
MT451053	2020-03-17	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450953	2020-03-11	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451041	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451073	2020-03-18	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451317	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451177	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451204	2020-03-23	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451699	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451194	2020-03-23	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451690	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451180	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451282	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451371	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451179	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451825	2020-04-09	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451805	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MA_MGH_00679	2020-03-22	20A	USA	MA	North America	Broad	ncov		Massachusetts		
MT447168	2020-03-12	20A	Thailand	Asia	Asia	External	ncov				
MT371017	2020-03-22	20A	USA	NY	North America	External	ncov		New York		
MT325626	2020-03-05	20A	USA	North America	North America	External	ncov		South Carolina		
MT451642	2020-03-26	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451658	2020-03-27	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450977	2020-03-13	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450978	2020-03-13	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450986	2020-03-14	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450969	2020-03-12	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450959	2020-03-11	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451319	2020-03-25	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451364	2020-03-23	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451369	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451281	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT428552	2020-03-20	20A	Kazakhstan	Europe	Europe	External	ncov				
MT451008	2020-03-16	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451094	2020-03-19	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT375459	2020-04-05	20A	USA	WA	North America	External	ncov		Washington		
MT334527	2020-03-11	20A	USA	North America	North America	External	ncov		Utah		
MT252784	2020-03-11	20A	USA	WA	North America	External	ncov		Washington		
MT415321	2020-03-11	20A	India	Asia	Asia	External	ncov				
MT444565	2020-03-28	20A	USA	North America	North America	External	ncov				
MT439269	2020-03-23	20A	USA	North America	North America	External	ncov		Michigan		
MT439253	2020-03-17	20A	USA	North America	North America	External	ncov		Michigan		
MT451077	2020-03-18	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT370835	2020-03-18	20A	USA	NY	North America	External	ncov		New York		
MT451221	2020-03-17	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT444566	2020-03-28	20A	USA	North America	North America	External	ncov				
MT451670	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451813	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451438	2020-03-28	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT325621	2020-03-07	20A	USA	North America	North America	External	ncov		Iowa		
MA_MGH_00433	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		
MT439251	2020-03-19	20A	USA	North America	North America	External	ncov		Michigan		
MT334545	2020-03-19	20A	USA	North America	North America	External	ncov		Utah		
MT467238	2020-04-29	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT451561	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451635	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT444520	2020-03-16	20A	USA	North America	North America	External	ncov				
MT444515	2020-03-16	20A	USA	North America	North America	External	ncov				
MT451223	2020-03-18	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT444518	2020-03-16	20A	USA	North America	North America	External	ncov				
MT444533	2020-03-15	20A	USA	North America	North America	External	ncov				
MT451045	2020-03-16	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451100	2020-03-19	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT334546	2020-03-19	20A	USA	North America	North America	External	ncov		Utah		
MT451395	2020-03-26	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451107	2020-03-19	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT412208	2020-03-26	20A	USA	North America	North America	External	ncov		Michigan		
MT412139	2020-03-12	20A	USA	North America	North America	External	ncov		Michigan		
MT325620	2020-03-08	20A	USA	North America	North America	External	ncov		Iowa		
MT325619	2020-03-08	20A	USA	North America	North America	External	ncov		Iowa		
MT325579	2020-03-09	20A	USA	North America	North America	External	ncov		Indiana		
MT325617	2020-03-08	20A	USA	North America	North America	External	ncov		Iowa		
MT451160	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451162	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451124	2020-03-20	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451118	2020-03-20	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT292570	2020-03-10	20A	Spain	Europe	Europe	External	ncov				
MT451887	2020-04-26	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT467242	2020-04-29	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT435083	2020-04-07	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT451550	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451662	2020-03-27	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451730	2020-04-05	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451289	2020-03-26	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT467250	2020-04-29	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT429187	2020-04-08	20A	USA	North America	North America	External	ncov		Wisconsin		
MT451634	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451028	2020-03-20	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451127	2020-03-20	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT412157	2020-03-17	20A	USA	North America	North America	External	ncov		Michigan		
MT451812	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451610	2020-04-05	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT334528	2020-03-12	20A	USA	North America	North America	External	ncov		Utah		
MT412147	2020-03-16	20A	USA	North America	North America	External	ncov		Michigan		
MT451002	2020-03-15	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT412201	2020-03-25	20A	USA	North America	North America	External	ncov		Michigan		
MT451579	2020-04-03	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451494	2020-03-29	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451040	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT439279	2020-03-24	20A	USA	North America	North America	External	ncov		Michigan		
MT439301	2020-03-25	20A	USA	North America	North America	External	ncov		Michigan		
MT435084	2020-04-14	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT325614	2020-03-08	20A	USA	North America	North America	External	ncov		Virginia		
MT252792	2020-03-10	20A	USA	WA	North America	External	ncov		Washington		
MT325576	2020-03-08	20A	USA	North America	North America	External	ncov		Iowa		
MT325618	2020-03-08	20A	USA	North America	North America	External	ncov		Iowa		
MT371049	2020-03-19	20A	Sri Lanka	Asia	Asia	External	ncov				
MT412173	2020-03-20	20A	USA	North America	North America	External	ncov		Michigan		
MA_MGH_00544	2020-03-20	20A	USA	MA	North America	Broad	ncov		Massachusetts		
MT451228	2020-03-20	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451166	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451167	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451178	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451261	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT435080	2020-04-13	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MA_MGH_00628	2020-03-28	20A	USA	MA	North America	Broad	ncov		Massachusetts		
MT467249	2020-04-29	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT451886	2020-04-26	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT371002	2020-03-22	20A	USA	NY	North America	External	ncov		New York		
MT451271	2020-03-23	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT467247	2020-04-29	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT467252	2020-04-29	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT435086	2020-04-21	20A	India	Asia	Asia	External	ncov		Mansa		
MT467241	2020-04-26	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT467240	2020-04-30	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT451613	2020-04-05	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451440	2020-03-28	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451170	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451469	2020-03-27	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451361	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451332	2020-03-27	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451308	2020-03-26	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451722	2020-04-03	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451790	2020-04-11	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451489	2020-03-27	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451356	2020-03-23	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451626	2020-04-06	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT444553	2020-04-03	20A	USA	North America	North America	External	ncov				
MT444624	2020-04-15	20A	USA	North America	North America	External	ncov				
MT334550	2020-03-14	20A	USA	North America	North America	External	ncov		Utah		
MT412144	2020-03-14	20A	USA	North America	North America	External	ncov		Michigan		
MT451785	2020-04-10	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT435079	2020-04-13	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT439276	2020-03-24	20A	USA	North America	North America	External	ncov		Michigan		
MT439296	2020-03-24	20A	USA	North America	North America	External	ncov		Michigan		
MT451597	2020-04-04	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT444592	2020-04-06	20A	USA	North America	North America	External	ncov				
MT451587	2020-04-04	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT467257	2020-04-30	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT444542	2020-04-02	20A	USA	North America	North America	External	ncov				
MT451676	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT444541	2020-04-02	20A	USA	North America	North America	External	ncov				
MT451794	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451704	2020-04-02	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451478	2020-03-29	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451347	2020-03-29	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451619	2020-04-06	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT439267	2020-03-23	20A	USA	North America	North America	External	ncov		Michigan		
MA_MGH_00205	2020-03-27	20A	USA	MA	North America	Broad	ncov		Massachusetts		
MT461655	2020-04-05	20A	USA	WA	North America	External	ncov		Washington		
MT451528	2020-03-29	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT467260	2020-05-02	20A	India	Asia	Asia	External	ncov		Prantij		
MT451883	2020-04-26	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT467244	2020-04-30	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT451884	2020-04-26	20A	India	Asia	Asia	External	ncov		Ahmedabad		
MT412214	2020-03-27	20A	USA	North America	North America	External	ncov		Michigan		
MT444603	2020-04-07	20A	USA	North America	North America	External	ncov				
MT451631	2020-03-27	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451452	2020-03-28	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MA_MGH_00521	2020-03-16	20A	USA	MA	North America	Broad	ncov		Massachusetts		
MT451290	2020-03-26	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451335	2020-03-28	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451698	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451434	2020-03-29	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451499	2020-03-27	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451549	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451746	2020-04-07	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451723	2020-04-03	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451541	2020-03-18	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451215	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451559	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451512	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451630	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451769	2020-04-10	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451510	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451418	2020-03-26	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451210	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451560	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451728	2020-04-04	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451183	2020-03-22	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451358	2020-03-23	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451668	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451212	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451513	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451736	2020-04-06	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451629	2020-04-08	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451688	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451388	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451211	2020-03-24	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451674	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451717	2020-04-03	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451566	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451664	2020-03-28	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451368	2020-03-25	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451293	2020-03-25	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451640	2020-03-25	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451775	2020-04-09	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451684	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451551	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451557	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451348	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451349	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451346	2020-03-29	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451686	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451564	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451547	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451558	2020-03-31	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451565	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451665	2020-03-28	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451563	2020-04-01	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451344	2020-03-29	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451545	2020-03-30	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451729	2020-04-04	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451718	2020-04-03	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451734	2020-04-06	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451655	2020-03-27	20A	Australia	Oceania	Oceania	External	ncov		Victoria		
MT434789	2020-03-09	20A	USA	NY	North America	External	ncov		New York		
MT374112	2020-03-16	20A	Taiwan	Asia	Asia	External	ncov				
MT326109	2020-03-22	20A	USA	North America	North America	External	ncov				
MT325577	2020-03-07	20A	USA	North America	North America	External	ncov		Illinois		
MT263411	2020-03-14	20A	USA	North America	North America	External	ncov		Connecticut		
MT459900	2020-03-08	20A	Greece	Europe	Europe	External	ncov		Athens		
